,Location ,Latitude ,NESS ID ,Longitude ,NWS ID ,Elevation ,Agency 
NLUM,Lumberton North Carolina,"34° 35' 42""",AAB0A704,"79° 05' 06""",319201,120 ft.,S&amp;PF
CSOM,Somes Bar California,"41° 23' 24""",323892AE,"123° 29' 45""",040231,920 ft.,USFS
ACAA,Carr Arizona,"31° 26' 42""",3238F748,"110° 16' 48""",021411,5400 ft.,USFS
HMAK,Makapulapai Hawaii,"21° 12' 12""",FA9024CE,"156° 57' 58""",494001,75 ft.,NPS
WSIT,Sitkum Washington,"47° 57' 25""",32476114,"124° 15' 45""",450128,1280 ft.,USFS
COAR,Oak Ridge California,"38° 44' 17""",32B525FE,"123° 18' 30""",042012,1890 ft.,S&amp;PF
CMVA,Mission Valley California,"32° 46' 58""",CA801094,"117° 08' 10""",045747,300 ft.,S&amp;PF
FOLU,Olustee Florida,"30° 12' 00""",3271113A,"82° 24' 00""",081301,150 ft.,USFS
XMOG,Mogollon New Mexico,"33° 23' 26""",326C15C2,"108° 48' 24""",292013,7854 ft.,USFS
UBMT,Buckley Mtn (BAER #11) Utah,"40° 12' 19""",,"111° 35' 07""",,9143 ft.,
MHLL,Holly Michigan,"42° 49' 02""",0800F346,"83° 41' 46""",206901,906 ft.,S&amp;PF
IDER,Deer Haven Idaho,"43° 10' 28""",3250E2AA,"115° 09' 06""",102711,5550 ft.,BLM
NY17,FRWS17 Southend St Bldg 100 4th f,"40° 42' 39""",3275B4F8,"74° 00' 59""",,40 ft.,USFS
WAND,Anderson Ridge Wyoming,"42° 26' 14""",32787280,"108° 56' 27""",481903,8120 ft.,BLM
MSTO,Stonington Michigan,"45° 54' 06""",33324436,"86° 55' 06""",201102,653 ft.,USFS
MSBR,South Bridger Montana,"45° 11' 58""",3256340C,"108° 47' 31""",245604,4725 ft.,BLM
WF05,FRWS-5 Bighorn Mtns Wyoming,"44° 59' 59""",,"107° 38' 40""",,4997 ft.,
OPAT,Patjens Oregon,"45° 19' 20""",3253562A,"120° 55' 30""",351001,2230 ft.,BLM
FLOX,Loxahatchee Florida,"26° 29' 54""",8379931C,"80° 13' 15""",086001,17 ft.,FWS
AMUL,Muleshoe Ranch Arizona,"32° 24' 14""",3258D396,"110° 16' 19""",021007,4560 ft.,BLM
SANP,Andrew Pickens South Carolina,"34° 48' 42""",3333305C,"83° 07' 30""",380102,1600 ft.,USFS
WMLL,Millis Wyoming,"41° 15' 00""",,"110° 50' 00""",,6700 ft.,
AWOO,Woodpecker Alaska,"56° 30' 12""",,"132° 47' 47""",,163 ft.,
CRTL,Rattlesnake California,"36° 24' 25""",FA626024,"118° 25' 18""",044728,8600 ft.,NPS
MWCR,Wilson's Creek Missouri,"37° 06' 44""",,"93° 24' 46""",,1215 ft.,
CDOU,Doublehead California,"41° 37' 30""",323A842C,"121° 04' 04""",040399,4000 ft.,USFS
ABEN,Ben Creek Alaska,"65° 17' 00""",FA6026DA,"143° 04' 00""",500414,1850 ft.,NPS
IPCN,Pole Canyon Idaho,"42° 53' 56""",3253455C,"111° 50' 00""",103903,6700 ft.,BLM
CPRT,Porter Ranch California,"34° 18' 12""",,"118° 34' 36""",,1979 ft.,
HORS,Horse Hollow - Cove Fort 5W Utah,"38° 40' 00""",32540462,"112° 39' 03""",421807,6010 ft.,BLM
CSBG,Santa Barbara Botanic Garden California,"34° 27' 21""",02A00512,"119° 42' 20""",045222,753 ft.,S&amp;PF
PWOL,Wolf Pond Pennsylvania,"40° 30' 56""",D680125A,"76° 46' 39""",360431,1720 ft.,S&amp;PF
CMOH,Mohawk California,"39° 46' 46""",AAB03266,"120° 35' 41""",040921,5122 ft.,USFS
MLTF,Little Falls Minnesota,"45° 57' 05""",7070A0BE,"94° 20' 40""",213102,1150 ft.,S&amp;PF
NYUC,Yucca Gap Nevada,"36° 26' 12""",83780484,"115° 19' 53""",261711,3180 ft.,FWS
MMIO,Mio Michigan,"44° 40' 34""",3285238E,"84° 07' 42""",202902,1050 ft.,USFS
WHIT,White Reef - Hurricane 5W,"37° 12' 58""",326FE248,"113° 22' 40""",422805,3440 ft.,USFS
IBUL,Bull Spring Idaho,"42° 04' 48""",3253E5A4,"114° 29' 05""",104006,5700 ft.,BLM
WCAB,Cabin Creek Wyoming,"44° 18' 41""",FA45D070,"110° 09' 01""",480118,8680 ft.,NPS
TDEL,Delano Tennessee,"35° 14' 52""",,"84° 34' 53""",,695 ft.,
HKAW,Kawailoa Training Area Hawaii,"21° 35' 14""",3278C10E,"158° 00' 47""",,1274 ft.,DOD
CCLV,Calaveras Road California,"37° 33' 11""",CA41D314,"121° 50' 38""",043405,1230 ft.,S&amp;PF
ICHA,Chausse Idaho,"42° 10' 28""",,"111° 07' 00""",104403,6480 ft.,BLM
IHAR,Hardin Ridge Indiana,"39° 00' 00""",3284D1F0,"86° 25' 22""",125701,750 ft.,USFS
IDIA,Diamond Flat Idaho,"42° 52' 00""",325EE6C2,"111° 13' 00""",103904,7500 ft.,USFS
NGRC,Greens Cross North Carolina,"36° 01' 03""",32859000,"76° 53' 30""",313001,42 ft.,S&amp;PF
CMSJ,Mt. San Jacinto California,"33° 48' 55""",329181D2,"116° 38' 31""",045625,8616 ft.,S&amp;PF
XSAA,San Andres New Mexico,"32° 34' 48""",83709540,"106° 31' 30""",292904,6138 ft.,FWS
WHUR,Hurricane Washington,"47° 58' 14""",3280A25A,"123° 29' 54""",450124,5200 ft.,NPS
PDOL,Doll Hill Pennsylvania,"41° 36' 21""",,"78° 14' 12""",,2054 ft.,
SSV1,Savraw South Carolina,"33° 21' 44""",32864166,"81° 41' 01""",383701,310 ft.,USFS
VFLW,Flatwoods Virginia,"36° 53' 26""",3281D630,"82° 27' 26""",448502,2308 ft.,USFS
MEFF,Effie Minnesota,"47° 46' 46""",7070503A,"93° 38' 46""",211004,1340 ft.,S&amp;PF
TMCG,McGregor Texas,"31° 23' 02""",884190EE,"97° 24' 46""",419802,636 ft.,S&amp;PF
VESS,Essex Junction Vermont,"44° 30' 28""",3335831C,"73° 06' 56""",430501,340 ft.,USFS
THEN,Henderson Texas,"32° 09' 00""",88413016,"94° 48' 00""",412202,500 ft.,S&amp;PF
MDRY,Dry Blood Creek Montana,"47° 14' 39""",3276951A,"108° 21' 27""",242303,3000 ft.,BLM
VCHI,Chincoteague Virginia,"37° 56' 00""",8377C708,"75° 21' 00""",449906,8 ft.,FWS
WCOW,Cow Creek Wyoming,"41° 16' 15""",3278471A,"107° 34' 55""",482011,7234 ft.,BLM
MCSS,Cassville Missouri,"36° 38' 56""",3290E6CE,"93° 44' 37""",238201,1487 ft.,USFS
CCLK,Clark California,"33° 52' 36""",CA44E14E,"117° 18' 32""",045624,1720 ft.,S&amp;PF
OCAM,Camp 2 Oregon,"43° 46' 48""",3235723A,"121° 03' 00""",352621,4770 ft.,USFS
ALTB,Lituya Bay Alaska,"58° 37' 36""",39623662,"137° 39' 29""",,12 ft.,NPS
IPOW,Powell Idaho,"46° 30' 44""",32375122,"114° 41' 17""",101031,3409 ft.,USFS
ANEN,Nenana Alaska,"64° 34' 13""",3390D2F6,"148° 49' 44""",500746,400 ft.,S&amp;PF
CKEN,Kenosha Pass Colorado,"39° 24' 39""",3269D71C,"105° 44' 59""",,10200 ft.,USFS
ORAT,Rattlesnake Oregon,"42° 35' 40""",,"117° 44' 25""",353615,4030 ft.,BLM
USTC,Steed Canyon Utah,"40° 57' 54""",,"111° 52' 23""",,6200 ft.,
WCA4,Camp 4 Washington,"48° 01' 05""",3245A1FE,"120° 14' 03""",452132,3600 ft.,USFS
TMIL,Miller Creek Texas,"33° 24' 49""",8840B4F8,"99° 24' 02""",419301,1335 ft.,S&amp;PF
OONI,Onion Mountain Lookout Oregon,"42° 27' 16""",3245517A,"123° 36' 54""",353114,4438 ft.,USFS
NMAC,Mackay Island North Carolina,"36° 31' 39""",,"75° 59' 19""",,2 ft.,
SSAN,Sand Lake South Dakota,"45° 52' 40""",83794574,"99° 24' 39""",390501,2030 ft.,FWS
LCAM,Cameron Louisiana,"30° 07' 30""",837854F8,"93° 07' 03""",165101,10 ft.,FWS
CMCG,McGuires California,"39° 21' 10""",CA2BB592,"123° 36' 04""",041017,593 ft.,S&amp;PF
CJOR,Jordan Creek California,"39° 47' 00""",3238A734,"121° 22' 00""",041298,4400 ft.,USFS
OZAL,Zaleski Ohio,"39° 17' 30""",61401366,"82° 23' 32""",338403,730 ft.,S&amp;PF
OGOO,Goodwin Peak Oregon,"43° 55' 41""",3260E4DA,"123° 53' 25""",352545,1826 ft.,USFS
LVER,Vernon Louisiana,"31° 01' 00""",324301C8,"93° 11' 13""",162302,350 ft.,USFS
TLBJ,LBJ Rd Texas,"33° 16' 58""",326B54FC,"97° 37' 55""",419601,932 ft.,USFS
CASC,Ash Creek California,"41° 16' 37""",323AC726,"121° 58' 46""",040244,3200 ft.,USFS
MBRI,Britton Springs Montana,"44° 59' 37""",324E97CC,"108° 20' 54""",245109,2860 ft.,BLM
TCOM,Comanche Texas,"31° 55' 27""",88428496,"98° 35' 50""",419403,1312 ft.,S&amp;PF
AGUN,Gunsight Arizona,"36° 42' 16""",32582312,"112° 35' 00""",020223,5280 ft.,BLM
MBEV,Beaverhead Deerlodge #2 Montana,"45° 49' 58""",,"112° 09' 00""",,4360 ft.,
MATN,Atlanta Michigan,"45° 08' 00""",0800C6DC,"84° 10' 00""",202301,895 ft.,S&amp;PF
GOOS,Gooseberry - Blanding 22NW Utah,"37° 49' 00""",3241174A,"109° 46' 00""",422710,8558 ft.,USFS
CCS2,Casitas California,"34° 24' 29""",33346214,"119° 22' 13""",045308,640 ft.,USFS
ORED,Red Butte Oregon,"43° 32' 10""",325DB1B0,"117° 50' 05""",353616,4460 ft.,BLM
AUNI,Union Pass Arizona,"35° 13' 29""",325962E2,"114° 22' 29""",020116,3520 ft.,BLM
WHUM,Humptullips Washington,"47° 22' 02""",32465674,"123° 45' 30""",450312,2400 ft.,USFS
CQUP,Quincy - Portable California,"39° 54' 00""",32807432,"120° 44' 50""",040996,4600 ft.,USFS
CJUA,Juanita Lake California,"41° 47' 10""",3238715C,"122° 00' 20""",040240,5400 ft.,USFS
KJAC,Jackson Co. AP Kentucky,"37° 35' 32""",4030305E,"83° 19' 04""",156001,1388 ft.,S&amp;PF
CFO2,Fort Ord #2 California,"36° 37' 37""",327B967C,"121° 47' 11""",,490 ft.,OTHR
WSSP,Satsop Washington,"47° 37' 00""",,"123° 58' 00""",,2100 ft.,
TSN2,Sabine North 2 Texas,"31° 48' 09""",3335D360,"94° 00' 01""",412901,229 ft.,USFS
XMES,Mescal New Mexico,"33° 10' 00""",5212B690,"105° 50' 00""",293003,6227 ft.,BIA
MWIL,Wild Horse Montana,"45° 10' 10""",,"108° 20' 02""",245605,8776 ft.,BLM
MBSP,Big Spring Missouri,"36° 58' 30""",FA64B682,"91° 01' 05""",239004,1000 ft.,NPS
WRCH,Rochelle Hills Wyoming,"43° 33' 02""",323036F0,"105° 05' 32""",480502,5199 ft.,USFS
TWAT,Watauga Tennessee,"36° 12' 05""",32A05330,"82° 23' 20""",403604,2830 ft.,USFS
ATHO,Thorne Bay Alaska,"55° 45' 00""",326F94D8,"132° 59' 00""",501040,1800 ft.,USFS
MRON,Ronan Montana,"47° 34' 02""",327D364A,"114° 05' 05""",241403,3060 ft.,BIA
MZRT,Zortman BLM Montana,"47° 54' 43""",324AE466,"108° 30' 14""",240807,3980 ft.,BLM
OCHD,Chandler Oregon,"40° 28' 15""",,"123° 38' 55""",,1697 ft.,
WFMK,Four Mile Knoll Wyoming,"42° 09' 10""",,"109° 31' 00""",,6640 ft.,
ACOV,Coville Alaska,"58° 48' 09""",3280B12C,"155° 33' 46""",,1500 ft.,NPS
WCNW,Columbia NWR Washington,"46° 52' 53""",83743082,"119° 19' 27""",453102,855 ft.,FWS
OBUR,Burnt Mountain Oregon,"43° 13' 09""",3263432C,"123° 50' 34""",353044,2240 ft.,BLM
OSYC,Sycan Oregon (#4C),"42° 43' 04""",FA6184D8,"121° 00' 29""",109898,5397 ft.,NPS
FNKD,National Key Deer NWR Florida,"24° 48' 36""",837A0170,"81° 21' 00""",086501,10 ft.,FWS
GOAK,Oakland Georgia,"32° 28' 02""",,"84° 33' 20""",,12 ft.,
OTOL,Tollgate Oregon,"45° 47' 06""",3232E56C,"118° 04' 06""",351313,4550 ft.,USFS
WNCS,NCSB Washington,"48° 25' 31""",3249C584,"120° 08' 27""",452030,1650 ft.,USFS
MGPO,Grand Portage Minnesota,"47° 57' 01""",5214233C,"89° 46' 48""",210703,1200 ft.,BIA
MSTW,Stillwater Montana,"48° 32' 22""",2200029E,"114° 33' 34""",240221,3116 ft.,S&amp;PF
CHLD,Hopland California,"39° 01' 51""",324EC7B0,"123° 04' 50""",,2682 ft.,BLM
OLAV,Lava Butte Oregon,"43° 55' 48""",323582BE,"121° 19' 48""",352618,4655 ft.,USFS
AMAY,May Creek Alaska,"61° 19' 15""",FA60433C,"142° 35' 04""",500957,1600 ft.,NPS
WRAS,Raspberry Wyoming,"43° 28' 20""",325F44C0,"110° 01' 06""",481307,10040 ft.,USFS
NTEW,Tewaukon North Dakota,"46° 00' 00""",8376A014,"97° 22' 30""",325301,1173 ft.,FWS
CWCN,Wood Canyon California,"34° 00' 32""",32517532,"116° 49' 20""",,4741 ft.,BLM
NMCO,Mt. Como Nevada,"39° 01' 38""",324DC0BE,"119° 25' 52""",040515,7000 ft.,BLM
XLSC,Santa Clara Canyon,"35° 59' 50""",3251E050,"106° 16' 52""",,7940 ft.,NPS
XGAR,Garcia Canyon,"35° 56' 43""",325153DE,"106° 18' 36""",,8155 ft.,NPS
WPHE,Phelps Wisconsin,"46° 02' 24""",3336410C,"89° 05' 46""",470502,1770 ft.,USFS
AHOR,Horse Camp Canyon Arizona,"32° 56' 15""",32585582,"110° 29' 46""",020903,4040 ft.,BLM
NJUN,Juniper Springs Nevada,"41° 04' 55""",325736F6,"119° 46' 38""",260112,5348 ft.,BLM
VHIL,Hillcrest WMA West Virginia,"40° 33' 32""",,"80° 33' 00""",,1142 ft.,
OCAN,Cannibal Mountain Oregon,"44° 20' 56""",3260C236,"123° 53' 07""",351604,1946 ft.,USFS
MLIT,Little Bullwacker Creek Montana,"47° 48' 50""",3256C488,"109° 01' 00""",240704,3100 ft.,BLM
KPEA,Peabody Kentucky,"37° 08' 17""",3284C286,"83° 34' 47""",157201,1465 ft.,USFS
ILAK,Lake Hills Idaho,"43° 27' 03""",,"113° 54' 27""",102905,5980 ft.,BLM
WCEC,Cedar Creek Washington,"48° 58' 47""",32318784,"117° 40' 29""",452917,4350 ft.,USFS
PGNC,Guanica Puerto Rico,"17° 57' 15""",78A02692,"66° 52' 56""",512901,17 ft.,S&amp;PF
CLN2,LN2 -Portable California,"40° 17' 00""",3234A6A8,"121° 12' 00""",,6000 ft.,USFS
MSCX,St. Croix Minnesota,"45° 58' 18""",AAC42186,"92° 37' 03""",213403,920 ft.,S&amp;PF
CDMC,Democrat California,"35° 31' 54""",328176C8,"118° 37' 49""",045002,2356 ft.,USFS
PCOT,Cotton Valley St. Croix,"17° 44' 33""",008007B8,"64° 37' 28""",,400 ft.,S&amp;PF
CNSC,San Clemente Isl. Nursery California,"32° 58' 44""",9330A482,"118° 33' 10""",,704 ft.,DOD
CPOP,Poppy Park California,"34° 43' 57""",CA41B6F2,"118° 23' 00""",045440,2760 ft.,S&amp;PF
NDEA,Dead Camel Mountain Nevada,"39° 15' 49""",325C2628,"118° 56' 36""",260701,4490 ft.,BLM
CBLA,Black Canyon Colorado,"38° 32' 34""",325A5076,"107° 41' 13""",053806,8560 ft.,BLM
NFIS,Fish Springs Nevada,"38° 56' 10""",32541714,"119° 39' 07""",261204,5120 ft.,BLM
UFMB,Four Mile Bench Utah,"37° 22' 05""",329337A8,"111° 40' 17""",,6083 ft.,BLM
GCML,Camilla Georgia,"31° 12' 51""",31010506,"84° 14' 11""",098201,62 ft.,S&amp;PF
TSAU,South Austin Texas,"30° 10' 36""",AAAFD098,"97° 52' 27""",417905,722 ft.,S&amp;PF
ACHT,Chitna Alaska,"61° 31' 55""",3390B710,"144° 26' 23""",500945,581 ft.,S&amp;PF
ACRO,Crown King Arizona,"34° 12' 30""",325E30AA,"112° 20' 00""",020502,5900 ft.,USFS
NYX5,FRWS5 Pier 25 loading dock,"40° 43' 12""",32522240,"74° 00' 48""",,18 ft.,BLM
ATAL,Talladega Alabama,"33° 26' 28""",3236363E,"86° 04' 52""",012701,600 ft.,USFS
NBRA,Brawley Peaks Nevada,"38° 16' 03""",325C13B2,"118° 52' 51""",261301,8080 ft.,BLM
APLE,Pleasant Valley Arizona,"34° 05' 36""",32338270,"110° 56' 00""",020603,5050 ft.,USFS
ASMI,Smith Peak Arizona,"34° 06' 57""",327D7540,"113° 20' 50""",021501,2500 ft.,BLM
AKAK,Kake Alaska,"56° 58' 26""",324913EC,"133° 39' 36""",501026,400 ft.,USFS
IMAR,Mariah Idaho,"45° 32' 12""",32419F8C,"115° 18' 38""",100799,3410 ft.,USFS
ASKT,Shaktoolik River Alaska,"64° 37' 58""",32D58734,"159° 54' 08""",500220,1850 ft.,BLM
CBBR,Big Bar California,"40° 44' 00""",323AB1B6,"123° 14' 00""",040501,1500 ft.,USFS
XALB,Albino Canyon New Mexico,"36° 58' 37""",324BF5EA,"107° 37' 42""",290102,6600 ft.,BLM
ADVK,Devils Knob Arkansas,"35° 36' 40""",3289F47A,"93° 20' 00""",032001,2100 ft.,USFS
CGA2,Gasquet 2 California,"41° 26' 17""",3239C028,"123° 56' 43""",040102,433 ft.,USFS
WKLL,Kelly Wyoming,"42° 16' 34""",327E3144,"110° 48' 22""",481208,8470 ft.,USFS
ABOO,Booth Lake Alaska,"57° 16' 04""",1261177E,"154° 33' 54""",500811,171 ft.,FWS
ICIT,City of Rocks Idaho,"42° 05' 28""",AA10644C,"113° 37' 52""",,5325 ft.,NPS
OTAF,Taft Bench Oregon,"43° 13' 18""",,"122° 46' 05""",,2800 ft.,
CBNN,Banning California,"33° 58' 24""",32A101B6,"116° 54' 45""",045601,3609 ft.,USFS
NLPT,North Long Point Utah,"37° 51' 17""",3241174A,"109° 50' 20""",422710,8680 ft.,USFS
SWTP,Whitetail Peak South Dakota,"44° 07' 34""",AAC100AA,"103° 50' 38""",392607,6848 ft.,USFS
IMAU,Maud Mountain Idaho,"44° 13' 00""",,"112° 34' 50""",102003,6160 ft.,BLM
CJAC,Jacks Canyon Colorado,"38° 45' 12""",325A137C,"108° 34' 47""",052409,7660 ft.,BLM
OBLM,Black Mountain Oregon,"45° 35' 42""",3236A35C,"118° 14' 06""",351314,5425 ft.,USFS
OSHW,Shawnee Ohio,"38° 41' 42""",614026FC,"83° 11' 49""",337501,1068 ft.,S&amp;PF
NLOS,Lostwood North Dakota,"48° 38' 00""",83757172,"102° 24' 00""",320220,2270 ft.,FWS
OMIL,Miller Butte Oregon,"45° 14' 00""",,"116° 57' 00""",,5700 ft.,
PERI,Erie Pennsylvania,"41° 37' 41""",83778402,"79° 57' 24""",360901,1800 ft.,FWS
VUMH,Umholt Virginia,"37° 44' 20""",,"79° 20' 10""",,1120 ft.,
CRDS,Redstone Colorado,"40° 34' 15""",3335E6FA,"105° 13' 35""",050508,6082 ft.,USFS
NBUR,Burma Spring Nevada,"41° 13' 07""",,"117° 24' 01""",260205,4550 ft.,BLM
XSEV,Sevilleta New Mexico,"34° 22' 37""",837933E4,"106° 47' 52""",292105,4789 ft.,FWS
WMED,Medford Wisconsin,"45° 06' 16""",,"90° 00' 00""",,1460 ft.,
VCRA,Craig Valley Virginia,"37° 31' 20""",3289B770,"80° 04' 47""",444002,1266 ft.,USFS
MBAL,Baldwin Michigan,"43° 53' 36""",32851614,"85° 51' 02""",203802,832 ft.,USFS
CCLE,Clear Creek California,"34° 16' 16""",3332F7B8,"118° 09' 09""",045405,3000 ft.,USFS
INFK,North Fork (Portable) Idaho,"43° 35' 58""",,"116° 12' 29""",,2860 ft.,
ICAN,Canyon Creek Idaho,"44° 13' 47""",837321C0,"115° 14' 49""",,7123 ft.,OTHR
CBMO,Blue Mountain California,"41° 49' 47""",326CF630,"120° 51' 47""",040302,5740 ft.,USFS
CCAE,Camp Elliot California,"32° 51' 33""",85803260,"117° 06' 20""",,539 ft.,DOD
CSAN,Sanborn Park Colorado,"38° 11' 30""",3235A452,"108° 13' 00""",053804,7930 ft.,USFS
NBUS,Busick North Carolina,"35° 44' 41""",326D22A2,"82° 12' 54""",313402,3058 ft.,USFS
UBCS,Buckskin Utah,"37° 04' 39""",32B6A4E4,"112° 02' 50""",,5725 ft.,BLM
MAGA,Agassiz Minnesota,"48° 30' 00""",8376767C,"95° 52' 12""",210801,920 ft.,FWS
ISKI,Ski Hill Idaho,"44° 56' 37""",325E554C,"116° 11' 16""",101223,5500 ft.,USFS
AFOR,Fort Apache RX#1 Arizona,"34° 04' 20""",32696492,"109° 51' 39""",020499,5400 ft.,BIA
COZE,Ozena California,"34° 40' 55""",327F0624,"119° 21' 14""",045303,3670 ft.,USFS
IPCR,Pine Creek Pass Idaho (Teton Cty),"43° 32' 24""",3285C07C,"111° 12' 03""",102401,7240 ft.,USFS
MWAU,Wausau Mississippi,"31° 31' 27""",328316DA,"88° 53' 20""",226702,312 ft.,USFS
TMCF,McFadden Texas,"29° 42' 00""",837184CC,"94° 07' 00""",419901,5 ft.,FWS
ISFK,South Fork Idaho,"45° 15' 45""",,"115° 30' 30""",,5400 ft.,
WEGL,Eagle Wisconsin,"42° 51' 35""",32A280AC,"88° 30' 57""",476401,938 ft.,S&amp;PF
CCDA,Coast Dairies California,"37° 01' 51""",,"122° 11' 16""",,723 ft.,
IMID,Midewin Tall Grass Prar Illinois,"41° 20' 30""",326F42B0,"88° 07' 51""",112001,489 ft.,USFS
ODEA,Dead Indian Oregon,"42° 17' 00""",32467098,"122° 19' 00""",353225,4900 ft.,USFS
ACOT,Cottonwood Alaska,"65° 20' 45""",1260D09A,"155° 56' 10""",500733,1310 ft.,FWS
ALIV,Livengood Alaska,"65° 25' 25""",324C62BC,"148° 43' 18""",500745,450 ft.,BLM
WOHA,Ohanapecosh Washington,"46° 43' 53""",FA65211A,"121° 34' 13""",451119,1650 ft.,NPS
NPAR,Paris Nevada,"40° 02' 25""",,"114° 58' 10""",260808,6341 ft.,BLM
CBAN,Banner Queen California,"33° 02' 06""",324E2442,"116° 31' 51""",109797,3700 ft.,BLM
OYLP,Yellowpine Oregon,"44° 31' 35""",323E9260,"118° 19' 23""",352124,4600 ft.,USFS
TCLD,Coldsprings Texas,"30° 18' 38""",3288B58A,"95° 05' 12""",414201,145 ft.,USFS
NLON,Long Hollow Nevada,"41° 32' 19""",325BA208,"116° 13' 03""",260305,5820 ft.,BLM
LSLI,Slidell Louisiana,"30° 20' 37""",,"89° 49' 20""",,25 ft.,
NALL,Alligator Ridge Nevada,"39° 44' 13""",32548276,"115° 31' 05""",260804,6560 ft.,BLM
MPRR,Pryor Montana,"45° 07' 46""",324E97CC,"108° 18' 14""",245109,8150 ft.,BLM
WSHE,Sherwood Wyoming,"43° 26' 42""",3265139E,"106° 05' 25""",481503,6274 ft.,BLM
FOAS,Oasis Florida,"25° 51' 00""",325DC720,"81° 01' 48""",086401,8 ft.,NPS
MDER,Derby Mountain Montana,"45° 35' 03""",323F05F8,"109° 51' 06""",244803,7000 ft.,USFS
WCHE,Chehalis Washington,"46° 36' 36""",30075416,"122° 54' 30""",451103,262 ft.,S&amp;PF
ABCA,Black Cape Alaska,"58° 24' 24""",83734426,"152° 53' 11""",,75 ft.,FWS
CDIA,Diablo Grande California,"37° 19' 45""",CA2302BA,"121° 17' 38""",043502,1850 ft.,S&amp;PF
NKNX,Knox Nevada,"39° 16' 24""",91C0052A,"119° 57' 42""",260117,7569 ft.,S&amp;PF
WKET,Kettle Falls Washington,"48° 36' 30""",FA501530,"118° 07' 10""",452916,1310 ft.,NPS
XMAY,Mayhill New Mexico,"32° 59' 00""",3283C0B2,"105° 30' 00""",293002,6700 ft.,USFS
ADUN,Dunkle Hills Alaska,"63° 16' 03""",3960B582,"149° 32' 21""",,2850 ft.,NPS
CLPK,Lost Park Colorado,"38° 18' 25""",3290053C,"105° 32' 34""",,10656 ft.,USFS
CSCN,Scorpion California,"41° 06' 42""",32421044,"122° 41' 48""",040517,4400 ft.,USFS
MDON,Doniphan Missouri,"36° 37' 37""",3271F2C8,"90° 49' 26""",239102,635 ft.,USFS
LKIS,Kisatchie - FTS Louisiana,"31° 29' 42""",32623746,"93° 11' 53""",161803,200 ft.,USFS
OCHE,Chemult Oregon,"43° 13' 35""",,"121° 47' 20""",353309,4629 ft.,USFS
HKLF,Kaupulehu Lava Flow Hawaii,"19° 48' 12""",4870E628,"155° 55' 05""",496031,1221 ft.,S&amp;PF
NDRY,Dry Canyon Nevada,"41° 26' 37""",325BE102,"119° 06' 48""",260203,4900 ft.,BLM
WROC,Rock Springs Wyoming,"41° 37' 43""",,"109° 13' 50""",481901,6450 ft.,BLM
OWIC,Wichita Oklahoma,"34° 46' 28""",83713742,"98° 44' 45""",345801,1800 ft.,FWS
XDUN,Dunken New Mexico,"32° 49' 32""",325B41FA,"105° 10' 50""",292302,5500 ft.,BLM
SPNN,Pinnacles South Dakota,"43° 52' 56""",FA64C012,"102° 12' 15""",392602,3092 ft.,NPS
