X,Y,OBJECTID,StationName,WXID,ObservedDate,NESSID,NWSID,Elevation,SiteDescription,Latitude,Longitude,State,County,Agency,Region,Unit,SubUnit,Status,RainAccumulation,WindSpeedMPH,WindDirDegrees,AirTempStandPlace,FuelTemp,RelativeHumidity,BatteryVoltage,FuelMoisture,WindDirPeak,WindSpeedPeak,SolarRadiation,StationID
-105.66872,36.69469,11,WILD RIVERS,17516319,2022/05/18 13:50:00+00,3291212A,290307,7530,,36.69469,-105.66872,NM,,BLM,R7 Upper CO Basin,TAOS,,A,1.9 inches,8 mph,19 degrees ,60 deg. F,NO DATA,32 % ,13.2 volts,NO DATA,23 degrees,15 mph,207 w/m2,17516319
-119.61131,37.7300300000001,12,YNP PORTABLE,18053677,2023/05/02 15:01:59+00,32D3E21C,,3633,,37.73003,-119.61131,CA,Mariposa,NPS,PACIFIC WEST,YOSEMITE NP,,A,0.26 inches,3 mph,NO DATA,36 deg. F,NO DATA,96 %,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,18053677
-85.55556,32.4836100000001,13,TUSKEGEE,17085722,2023/01/24 13:27:00+00,327EB750,014201,509,,32.48361,-85.55556,AL,Macon,USFS,08,NF'S IN ALABAMA,TUSKGEE,A,12.01 inches,0 mph,116 degrees ,27 deg. F,26 deg. F ,95 % ,12.8 volts,24.6 (unk),266 degrees,1 mph,0 w/m2,17085722
-105.46472,39.64,14,CORRAL CREEK,17206311,2022/10/12 20:58:00+00,327137D6,051804,8081,Jefferson County Outdoor Lab School.,39.64,-105.46472,CO,Jefferson,USFS,02,ARAPAHO/ROOSEVELT NF,CLEAR CREEK,A,13.17 inches,9 mph,322 degrees ,66 deg. F,NO DATA,16 % ,13.5 volts,NO DATA,326 degrees,25 mph,709 w/m2,17206311
-89.79556,30.6619400000001,15,BOGUE CHITTO,18770452,2023/05/05 10:12:59+00,32B108FA,227701,126,,30.66194,-89.79556,MS,Pearl River,FWS,REGION 4,BIG BRANCH NWR,SE La Refuges Comple,A,19.9 inches,0 mph,NO DATA,67 deg. F,NO DATA,94 %,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,18770452
-77.7516699999999,41.23778,16,COFFIN ROCK,17549341,2022/08/25 22:15:59+00,32A08558,360351,2328,Forest District 10.  AT THE COFFIN ROCK FIRE TOWER SITE.,41.23778,-77.75167,PA,Clinton,S&PF,PENNSYLVANIA,NOT APPLICABLE,,A,24.82 inches,3 mph,173 degrees ,75 deg. F,74 deg. F ,55 % ,13.4 volts,7.5 (unk),186 degrees,7 mph,74 w/m2,17549341
-111.78161,44.1685800000001,17,GAS CAVES,16820790,2022/05/09 05:23:00+00,3251C6BC,102106,5775,"STATION SITS IN LARGE BOWL THAT HAS SMALL HILLS SURROUNDING
IT (8-10 FT). THE JUNIPER MTS. ARE APPROXIMATELY 5-8 MILES
SOUTH & SOUTHEAST. VEGATATION IS MOSTLY SAGEBRUSH WITH
SCATTERED LAVA ROCK IN AREA.",44.16858,-111.78161,ID,Fremont,BLM,R9 Columbia Pac NW,IDAHO FALLS,WASHINGTON D.C.,A,2.87 inches,8 mph,179 degrees ,31 deg. F,NO DATA,75 % ,13.6 volts,NO DATA,181 degrees,12 mph,0 w/m2,16820790
-121.39659,37.1769800000001,18,ORESTIMBA CREEK,19779075,2023/02/21 19:07:00+00,32B5FD44,,1345,,37.17698,-121.39659,CA,Santa Clara,S&PF,CALIFORNIA,CALIF. STATE PARKS,SJSU,A,26 inches,6 mph,NO DATA,61 deg. F,NO DATA,50 %,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,19779075
-120.80389,37.0663900000001,19,SAN LUIS PORTABLE,17509650,2022/06/27 04:34:00+00,837A427A,,70,,37.06639,-120.80389,CA,,FWS,REGION 8,SAN LUIS NWR,,A,6.64 inches,4 mph,295 degrees ,78 deg. F,71 deg. F ,38 % ,12.9 volts,3.3 (unk),304 degrees,6 mph,NO DATA,17509650
-81.1786099999999,37.01111,20,STONY FORK,17539102,2022/03/15 12:58:00+00,3293B1BC,447502,2540,3-5 Acre wildlife opening surrounded by common Northern,37.01111,-81.17861,VA,Wythe,USFS,08,G.WASH & JEFFERSON,Mt. Rogers NRA,1,10.24 inches,0 mph,274 degrees ,33 deg. F,32 deg. F ,79 % ,13.5 volts,12.5 (unk),274 degrees,2 mph,121 w/m2,17539102
-114.91667,46.1280600000001,21,MOOSE CREEK,16921151,2022/03/15 13:10:00+00,323A24D4,101028,2460,SITS AT THE MOOSE CREEK RANGER STATION ADMIN SITE IN THESELWAY-BITTEROOT WILDERNESS.FIRE WX FORECAST ZONE:103,46.12806,-114.91667,ID,Idaho,USFS,01,NEZ PERCE-CLEARWATER,MOOSE CREEK RD,1,8.61 inches,0 mph,NO DATA,35 deg. F,NO DATA,98 % ,13.3 volts,NO DATA,NO DATA,1 mph,0 w/m2,16921151
-116.20861,43.5650000000001,22,PRAWS 13,18910514,2022/05/02 18:51:00+00,010EF54E,,2865,,43.565,-116.20861,ID,Ada,BLM,IDAHO,BLM/NIFC,,A,0 inches,7 mph,NO DATA,67 deg. F,NO DATA,29 %,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,18910514
-81.033,25.8603900000001,23,OASIS,17328940,2022/03/15 12:38:00+00,325DC720,086401,8,,25.86039,-81.033,FL,,NPS,SOUTHEAST,BIG CYPRESS NP,,1,3.96 inches,5 mph,68 degrees ,71 deg. F,NO DATA,92 % ,13.4 volts,NO DATA,57 degrees,9 mph,52 w/m2,17328940
-112.3,34.1100000000001,24,HUMBUG CREEK,16793131,2022/04/25 15:48:00+00,3258736E,020508,5250,"WEST SIDE OF MOUNTIAN 100YDS. FROM TOP, CATUS DESERT ANDROCKS.",34.11,-112.3,AZ,Yavapai,BLM,ARIZONA,PHOENIX,WASHINGTON D.C.,A,.67 inches,20 mph,28 degrees ,58 deg. F,NO DATA,14 % ,13.6 volts,NO DATA,29 degrees,46 mph,485 w/m2,16793131
-121.22247,40.0217200000001,25,PNF21 PORTABLE,16913488,2022/03/15 12:59:59+00,3247D29A,040692,2330,,40.02172,-121.22247,CA,Plumas,USFS,05,PLUMAS NF,MT. HOUGH RD,1,173.89 inches,1 mph,179 degrees ,47 deg. F,46 deg. F ,100 % ,12.7 volts,26.5 (unk),96 degrees,3 mph,NO DATA,16913488
-116.90889,46.92972,26,POTLATCH,16916277,2022/03/15 13:11:00+00,323764B8,100603,2500,station sits on south slope of a brushy hillside adjacent tothe Potlatch Ranger Station.,46.92972,-116.90889,ID,Latah,USFS,01,NEZ PERCE-CLEARWATER,POTLATCH RD,1,4.01 inches,4 mph,188 degrees ,44 deg. F,NO DATA,87 % ,13 volts,NO DATA,222 degrees,9 mph,0 w/m2,16916277
-118.972,36.7103900000001,27,SQF03 PORTABLE,19722759,2022/02/09 20:09:00+00,32B6917E,,5854,,36.71039,-118.972,CA,Fresno,USFS,05,SEQUOIA NF,Division 13,2,12.39 inches,2 mph,NO DATA,65 deg. F,NO DATA,16 %,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,19722759
-113.95383,45.82073,28,SULA,17463835,2022/09/06 20:28:00+00,328A6616,242905,4570,,45.82073,-113.95383,MT,Ravalli,USFS,01,BITTERROOT NF,SULA RD,A,10.68 inches,7 mph,NO DATA,94 deg. F,NO DATA,11 %,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,17463835
-116.2087,43.5651700000001,29,BOISE TEST BACK RIGHT,17510462,2022/03/15 12:46:00+00,3290C022,,2855,,43.56517,-116.2087,ID,,BLM,IDAHO,BLM/NIFC,,1,1.3 inches,7 mph,133 degrees ,50 deg. F,49 deg. F ,49 % ,11.2 volts,10 (unk),137 degrees,16 mph,0 w/m2,17510462
-107.50586,44.2985600000001,30,HYATT HIGH,16876333,2022/05/05 00:52:00+00,3264D47A,480307,5670,"STATION SITS ON WEST SIDE OF JEEP TRAIL ON A FINGER RIDGETHAT RUNS N-S. VEGETATION IS JUNIPER, WILDFLOWERS AND MIXEDGRASSES. MANY RAVINES TO EAST, SOUTH AND WEST. STATIONOVERLOOKS LARGE VALLEY FLOOR BACKED BY HIGH BLUFFS TO THESW ABOUT 2-3 MILES.",44.29856,-107.50586,WY,Big Horn,BLM,WYOMING,WORLAND,WASHINGTON D.C.,A,1.04 inches,1 mph,44 degrees ,52 deg. F,NO DATA,72 % ,14.1 volts,NO DATA,94 degrees,4 mph,109 w/m2,16876333
-142.05417,62.0780600000001,31,CHISANA,16904749,2022/08/19 17:57:00+00,3246C316,500933,3318,"LOCATED ON THE EAST END OF THE PARK APPROX 100 MILES,STATION IS ON THE NE END OF AIRSTRIP 200 FT. OFF THE RUNWAY.",62.07806,-142.05417,AK,Valdez-Cordova,NPS,ALASKA,WRANGLE ST. ALIAS NP,,A,.96 inches,1 mph,358 degrees ,61 deg. F,NO DATA,39 % ,14.2 volts,NO DATA,34 degrees,4 mph,441 w/m2,16904749
-113.66662,46.0006500000001,32,OBRIEN RIDGE,18632217,2022/10/19 13:23:00+00,32B0C1CC,,7889,,46.00065,-113.66662,MT,Granite,USFS,01,BEAVERHEAD/DEERLODGE,,A,0 inches,0 mph,NO DATA,45 deg. F,NO DATA,27 %,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,18632217
-116.2087,43.5651700000001,33,BOISE TEST BACK RIGHT,17510468,2022/06/21 23:45:59+00,3290C022,,2855,,43.56517,-116.2087,ID,,BLM,R9 Columbia Pac NW,BLM/NIFC,,D,5.88 inches,5 mph,294 degrees ,83 deg. F,100 deg. F ,21 % ,13.3 volts,2.6 (unk),249 degrees,11 mph,719 w/m2,17510468
-145.76265,63.9666300000001,34,WILLS RANGE,19037192,2022/04/19 10:10:00+00,32B66F28,,1250,,63.96663,-145.76265,AK,Fairbanks North Star,DOD,,,FAIRBANKS NORTH STAR,A,0.02 inches,3 mph,NO DATA,26 deg. F,NO DATA,41 %,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,19037192
-81.29533,26.2483100000001,35,MILES CITY RAWS,16907584,2022/03/15 12:45:00+00,FA62232E,086402,15,,26.24831,-81.29533,FL,,NPS,SOUTHEAST,BIG CYPRESS NP,,1,2.63 inches,4 mph,85 degrees ,69 deg. F,NO DATA,95 % ,13.2 volts,NO DATA,90 degrees,9 mph,49 w/m2,16907584
-150.585,67.7142000000001,36,CHIMNEY LAKE,18269203,2022/08/23 21:23:00+00,3961F472,,3692,,67.7142,-150.585,AK,,NPS,ALASKA,GATES OF ARCTIC NP,,A,5.97 inches,11.2 mph,NO DATA,44.1 deg. F,NO DATA,98.6 %,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,18269203
-118.9425,36.7241700000001,37,PARK RIDGE,17112631,2022/05/31 02:00:00+00,FA50A6BE,044713,7540,"END OF PARK RIDGE LOOKOUT ROAD.MANZANITA, WITH SPREAD OUT 50 FT.RED FIR AND SUGAR PINE",36.72417,-118.9425,CA,Fresno,NPS,PACIFIC WEST,SEQUOIA NP,,A,13.46 inches,3 mph,320 degrees ,50 deg. F,52 deg. F ,47 % ,13.4 volts,6.7 (unk),293 degrees,7 mph,73 w/m2,17112631
-104.88667,38.6075700000001,38,FT. CARSON,16924722,2022/04/12 17:58:00+00,32673086,053603,6450,LOCATED ON MILITARY INSTALLATIONFIRE WX ZONE: 204,38.60757,-104.88667,CO,El Paso,USFS,02,PIKE/SAN ISABE NF,PIKES PEAK RD,1,1.55 inches,17 mph,301 degrees ,53 deg. F,NO DATA,31 % ,13.6 volts,NO DATA,268 degrees,31 mph,697 w/m2,16924722
-94.65811,31.75942,39,LUFKIN PORTABLE RAWS,18530066,2021/12/09 18:29:00+00,32D4A322,,410,,31.75942,-94.65811,TX,Angelina,S&PF,TEXAS,TEXAS FOREST SERVICE,East,1,0 inches,2 mph,NO DATA,74 deg. F,NO DATA,86 %,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,18530066
-84.61139,30.35833,40,BLOXHAM,17294377,2022/03/15 13:15:00+00,3287F012,080802,125,,30.35833,-84.61139,FL,Leon,USFS,08,NF'S IN FLORIDA,WAKULLA,1,9.2 inches,4 mph,107 degrees ,59 deg. F,58 deg. F ,88 % ,13.1 volts,22.3 (unk),111 degrees,11 mph,40 w/m2,17294377
-116.06697,32.9903100000001,41,FISH CREEK MOUNTAINS,16802098,2022/12/13 17:26:00+00,3277A27A,045802,781,"STATION IN DESERT VALLEY WHICH RUNS FROM SOUTH DOWN TO THE
NORTH. STATION ON WEST SIDE OF VALLEY ACROSS DRY WASHES.
GENTLE ROLLING SLOPE TO NORTH EAST.
APPROX. 3/4 MI. WEST OF MAIN WASH ROAD.",32.99031,-116.06697,CA,Imperial,BLM,R8 Lower CO Basin,CA DESERT DISTRICT,WASHINGTON D.C.,A,.2 inches,1 mph,201 degrees ,54 deg. F,NO DATA,46 % ,13.7 volts,NO DATA,304 degrees,12 mph,361 w/m2,16802098
-114.43633,41.64331,42,ROCK SPRING CREEK,16841768,2022/04/21 11:41:00+00,325217DA,260309,5427,HIGH DESERT FOOTHILLSWIDE SHALLOW VALLEYS SURROND AREA,41.64331,-114.43633,NV,Elko,BLM,NEVADA,ELKO,WASHINGTON D.C.,A,2.24 inches,1 mph,238 degrees ,27 deg. F,NO DATA,67 % ,12.9 volts,NO DATA,328 degrees,6 mph,0 w/m2,16841768
-104.7195,44.5817900000001,43,DEVILS TOWER,17137190,2023/05/05 10:23:00+00,FA64F588,480606,3872,Devils Tower residence area,44.58179,-104.7195,WY,Crook,NPS,MIDWEST,DEVILS TOWER NM,NORTHERN GREAT PLAIN,A,3.78 inches,2 mph,341 degrees ,40 deg. F,37 deg. F ,89 % ,12.7 volts,10.7 (unk),290 degrees,3 mph,0 w/m2,17137190
-120.48975,38.2844200000001,44,BANNER ROAD,17093168,2022/03/21 03:13:00+00,CA21F7CA,043211,2803,"Station was moved to Banner Road February 28th, 2014.  Name change occurred as a result.  Station is now called Banner Banner Road.  Station used to be located behind Esperanza Fire Station and carried the name of the fire station until the move.",38.28442,-120.48975,CA,Calaveras,S&PF,CALIFORNIA,CDF,TOULUMNE-CALAVERAS,1,20.94 inches,7 mph,340 degrees ,50 deg. F,48 deg. F ,43 % ,13.2 volts,7.7 (unk),330 degrees,10 mph,1 w/m2,17093168
-121.24394,40.29261,45,CHESTER,16958546,2022/08/03 18:01:59+00,32806744,040904,4547,"STATION SITS IN FLAT AREA AT THE ALMANOR RANGER STATION.
Logging operations on 3/13/2014 removed the 60ft pines in the immediate vicinity of the station,resulting in increased wind observations due to the sensors being above the canopy. TALKER FREQ (TX & RCV): 168.350 DTMF: 9",40.29261,-121.24394,CA,Plumas,USFS,05,LASSEN NF,ALMANOR RD,A,16.5 inches,4 mph,98 degrees ,84 deg. F,99 deg. F ,37 % ,13.3 volts,6.1 (unk),127 degrees,7 mph,789 w/m2,16958546
-123.68508,42.10375,46,ILLINOIS VALLEY AIRPORT,16989489,2023/01/10 19:52:00+00,324564E0,353115,1389,"FIRE WX FORECAST ZONE: 620
SITE SITS 200 YDS WEST OF N-S RUNWAY. OLD BUNKER 50' TO THE
S-SE OF STATION.",42.10375,-123.68508,OR,Josephine,BLM,R9 Columbia Pac NW,MEDFORD,OR & CA RR PROP,A,3.46 inches,1 mph,8 degrees ,47 deg. F,NO DATA,75 % ,14 volts,NO DATA,4 degrees,5 mph,153 w/m2,16989489
-116.67155,32.83642,47,ALPINE,17258302,2023/05/05 09:52:00+00,327F8030,045744,2797,"Site is on the south side of eastbound Interstate 8, between the East Willows exit and the View Point.",32.83642,-116.67155,CA,San Diego,USFS,05,CLEVELAND NF,DESCANSO R. D.,A,29.38 inches,0 mph,83 degrees ,41 deg. F,40 deg. F ,96 % ,12.8 volts,24.1 (unk),111 degrees,5 mph,0 w/m2,17258302
-116.10806,55.39583,48,3 MILE (TEST AGAIN),17192239,2022/02/08 20:13:00+00,326F772A,102004,9999,"south facing slope,knob 100 feet in diameter mid slope",55.39583,-116.10806,ID,Clark,USFS,04,CARIBOU/TARGHEE NF,DUBOIS RD,1,.62 inches,4 mph,231 degrees ,31 deg. F,24 deg. F ,61 % ,NO DATA,14.3 (unk),26.3 degrees,NO DATA,9 w/m2,17192239
-122.94511,39.80742,49,MENDOCINO PASS,17209642,2023/05/02 17:05:00+00,32715230,041018,5382,"SITE IS JUST NORTH OF MENDOCINO PASS. AREA IS IN A SMALL
CLEARING WITH THE MAST JUST ABOVE THE TREES.  STATION SITS
ON A SOUTH SLOPE 50 YDS OF 2 TRACK.",39.80742,-122.94511,CA,Mendocino,USFS,05,MENDOCINO NF,COVELO RD,A,17.37 inches,5 mph,214 degrees ,32 deg. F,35 deg. F ,98 % ,12.8 volts,24.5 (unk),228 degrees,9 mph,58 w/m2,17209642
-110.64325,31.7834700000001,50,EMPIRE,16792622,2022/05/02 22:54:00+00,325805FE,021205,4650,"STATION IS LOCATED AT THE EMPIRE RANCH, OWNED BY THE BLM,JUST NORTH OF SONOITA, AZ.  THIS IS ALL GRASSLAND, BASICALLYFLAT BUT ROLLING.  SITE IS ON THE SOUTH EDGE OF RANCH OUTBUILDINGS INSIDE OF FENCED AREA.",31.78347,-110.64325,AZ,Pima,BLM,ARIZONA,SAFFORD,WASHINGTON D.C.,A,1.1 inches,11 mph,287 degrees ,83 deg. F,NO DATA,9 % ,13.3 volts,NO DATA,277 degrees,23 mph,798 w/m2,16792622
-85.42778,35.13028,51,PRENTICE COOPER SF,17395227,2022/03/15 13:05:59+00,02606490,409201,1920,,35.13028,-85.42778,TN,Marion,S&PF,TENNESSEE,DIVISION OF FORESTRY,Cumberland,1,16.9 inches,5 mph,290 degrees ,49 deg. F,NO DATA,45 % ,12.7 volts,NO DATA,274 degrees,10 mph,63 w/m2,17395227
-123.10313,41.2444300000001,52,IRAWS 3,,2022/02/16 12:45:00+00,,,,,,,,,,,,,,0.06 inches,0 mph,NO DATA,31 deg. F,NO DATA,83 %,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,18038699
-121.46251,41.42711,53,ROUND MOUNTAIN,17102387,2022/06/07 09:14:59+00,CA2083A0,040221,5255,South side of Round Mountain Lookout. Site is open ridge topwith low brush and red rock soil. Station is enclosed with,41.42711,-121.46251,CA,Siskiyou,USFS,05,MODOC NF,Big Valley,A,5.7 inches,5 mph,179 degrees ,45 deg. F,42 deg. F ,70 % ,12.8 volts,6.1 (unk),179 degrees,13 mph,0 w/m2,17102387
-116.62208,33.61697,54,KENWORTHY,19072784,2022/11/04 04:39:00+00,32B6FA4A,045605,4590,,33.61697,-116.62208,CA,Riverside,USFS,05,SAN BERNARDINO NF,San Jacinto RD/55,A,1.02 inches,0 mph,NO DATA,27 deg. F,NO DATA,82 %,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,19072784
-116.90889,46.92972,55,POTLATCH,16916278,2022/10/04 13:11:00+00,323764B8,100603,2500,"station sits on south slope of a brushy hillside adjacent to
the Potlatch Ranger Station.",46.92972,-116.90889,ID,Latah,USFS,01,NEZ PERCE-CLEARWATER,POTLATCH RD,A,15.58 inches,1 mph,38 degrees ,47 deg. F,NO DATA,92 % ,12.9 volts,NO DATA,17 degrees,4 mph,0 w/m2,16916278
-123.94534,41.8382800000001,56,GASQUET 2,16967232,2022/08/10 15:51:00+00,3239C028,040102,452,"VALLEY , located at the Gasquet Ranger Station.  Stationconverted to RAWS (was micro-raws) replacing manual station10/27/99 - Station has had AC since this date. Station hasvoice-",41.83828,-123.94534,CA,Del Norte,USFS,05,SIX RIVERS NF,Smith River NRA,A,76.27 inches,0 mph,305 degrees ,54 deg. F,51 deg. F ,100 % ,12.8 volts,17.4 (unk),322 degrees,1 mph,29 w/m2,16967232
-67.1627799999999,17.97306,57,CABO ROJO,17507097,2023/05/05 09:57:00+00,837A1206,,109,,17.97306,-67.16278,PR,,FWS,REGION 4,,,A,5.3 inches,9 mph,99 degrees ,82 deg. F,NO DATA,76 % ,12.9 volts,NO DATA,85 degrees,16 mph,40 w/m2,17507097
-116.97361,32.6850000000001,58,SAN MIGUEL,17324059,2022/03/15 12:49:59+00,8374E6EA,045737,425,,32.685,-116.97361,CA,San Diego,FWS,REGION 8,SAN DIEGO NWR,,1,5.41 inches,1 mph,12 degrees ,52 deg. F,46 deg. F ,87 % ,12.7 volts,22.8 (unk),136 degrees,3 mph,0 w/m2,17324059
-111.09911,44.6659700000001,59,HEBGEN LAKE,17036069,2023/04/04 14:40:00+00,323FC0E6,244603,6700,"site is surrounded by lodgepole pine,vegitation is sparsegrass with barren sandy soil",44.66597,-111.09911,MT,Gallatin,USFS,01,Custer Gallatin NF,HEBGAN LAKE RD,A,9.53 inches,5 mph,355 degrees ,20 deg. F,NO DATA,70 % ,13 volts,NO DATA,353 degrees,15 mph,44 w/m2,17036069
-78.3699999999999,38.6666700000001,60,HEADQUARTERS,17201189,2022/09/07 12:46:00+00,FA64D364,440901,1200,Station is located in a grassy meadow surrounded by mixed,38.66667,-78.37,VA,,NPS,NORTHEAST,SHENANDOAH NP,,A,29.98 inches,2 mph,287 degrees ,69 deg. F,70 deg. F ,100 % ,13 volts,24.8 (unk),280 degrees,3 mph,57 w/m2,17201189
-100.02069,32.47186,61,MERKEL PORTABLE,19205654,2022/03/15 12:52:00+00,32D17C58,,1871,,32.47186,-100.02069,TX,Taylor,S&PF,TEXAS,TEXAS FOREST SERVICE,North,2,2.51 inches,9 mph,NO DATA,47 deg. F,NO DATA,56 %,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,19205654
-70.02417,41.97556,62,CACO,16909858,2022/07/26 18:51:00+00,FA65C2E8,191203,110,"station has TM4000,AC pwr, no solar panel. Programmed for
auto-rain reset Jan. 1st",41.97556,-70.02417,MA,,NPS,NORTHEAST,CAPE COD N.SEASHORE,,A,20.76 inches,2 mph,176 degrees ,80 deg. F,90 deg. F ,49 % ,13.5 volts,7.3 (unk),107 degrees,5 mph,591 w/m2,16909858
-116.20861,43.55972,63,IRAWS 12,18040482,2022/02/18 17:45:59+00,32D0B56E,,2865,,43.55972,-116.20861,ID,Ada,BLM,IDAHO,BLM/NIFC,RAWS,2,0 inches,0 mph,NO DATA,46 deg. F,NO DATA,47 %,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,18040482
-109.98161,31.87208,64,RO PORTABLE #4,,2022/04/03 16:28:00+00,,,,,,,,,,,,,,1.12 inches,6 mph,NO DATA,64 deg. F,NO DATA,22 %,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,17869349
